,zipcode,city,quarter,region,learn_more,population_density,retail_sparsity,potential
0,20253,Hamburg,Hamburg-Hoheluft-West,Hamburg,/wiki/Hamburg-Hoheluft-West,1.0,0.8588235213976947,1.0
1,10369,Berlin,Berlin-Fennpfuhl,Berlin,/wiki/Berlin-Fennpfuhl,0.829475549386586,0.9933407318953297,0.9795048372019068
2,70182,Stuttgart,Stuttgart-Heusteigviertel,Baden Württemberg,/wiki/Heusteigviertel,0.9380848211321932,0.869281043948056,0.9707105282147904
3,13357,Berlin,Berlin-Gesundbrunnen,Berlin,/wiki/Berlin-Gesundbrunnen,0.7977748410308816,0.9746665381861815,0.9508316643778468
4,20259,Hamburg,Hamburg-Eimsbüttel,Hamburg,/wiki/Hamburg-Eimsb%C3%BCttel,0.9444221210709614,0.8279411721974612,0.9507872181991204
5,22049,Hamburg,Hamburg-Dulsberg,Hamburg,/wiki/Hamburg-Dulsberg,0.7480433211691924,0.9882352941176471,0.9302479781082026
6,12043,Berlin,Berlin-Neukölln,Berlin,/wiki/Berlin-Neuk%C3%B6lln,0.7331382713009771,0.9939668171581385,0.9250264469616238
7,12353,Berlin,Berlin-Gropiusstadt,Berlin,/wiki/Berlin-Gropiusstadt,0.7381517855752013,0.9840778415440544,0.9222513557978764
8,10969,Berlin,Berlin-Kreuzberg,Berlin,/wiki/Berlin-Kreuzberg,0.7686459935814349,0.9496769791739982,0.920027705306337
9,81675,München,München-Haidhausen,Bayern,/wiki/Au-Haidhausen,0.7611979720885987,0.9397825427036312,0.910156454465338
10,81541,München,München-Au,Bayern,/wiki/Au-Haidhausen,0.7611979720885987,0.9397825427036312,0.910156454465338
11,10405,Berlin,Berlin-Prenzlauer Berg,Berlin,/wiki/Berlin-Prenzlauer_Berg,0.7849944177278609,0.9007705272208256,0.901495818992959
12,79100,Freiburg im Breisgau,Freiburg im Breisgau-Vauban,Baden Württemberg,/wiki/Vauban_(Freiburg_im_Breisgau),0.7118765537081181,0.9655667128220697,0.8967591562164702
13,50677,Köln,Köln-Neustadt/Süd,Nordrhein-Westfalen,/wiki/Neustadt-S%C3%BCd_(K%C3%B6ln),0.7074086506931828,0.9650392562662395,0.8939158195067236
14,22089,Hamburg,Hamburg-Eilbek,Hamburg,/wiki/Hamburg-Eilbek,0.6827025106242745,0.9833910032660952,0.8902989269036097
15,13439,Berlin,Berlin-Märkisches Viertel,Berlin,/wiki/Berlin-M%C3%A4rkisches_Viertel,0.653192062701106,0.9911764703691006,0.8779331633165368
16,80339,München,München-Schwanthalerhöhe,Bayern,/wiki/Schwanthalerh%C3%B6he,0.7452989396944554,0.8908780825113002,0.8732705913396386
17,10243,Berlin,Berlin-Friedrichshain,Berlin,/wiki/Berlin-Friedrichshain,0.7279871833699989,0.9076145733806433,0.8729431527712629
18,04315,Leipzig,Leipzig-Volkmarsdorf,Sachsen,/wiki/Volkmarsdorf,0.6296943921028956,1.0,0.8695807067805689
19,10711,Berlin,Berlin-Halensee,Berlin,/wiki/Berlin-Halensee,0.6357452934152915,0.977767483729395,0.860370202675334
20,80799,München,München-Maxvorstadt,Bayern,/wiki/Maxvorstadt,0.6280363381087744,0.9671682628055983,0.8499492692416709
21,13189,Berlin,Berlin-Pankow,Berlin,/wiki/Berlin-Pankow,0.601770983711642,0.9925171477029651,0.8494276188308981
22,22083,Hamburg,Hamburg-Barmbek-Süd,Hamburg,/wiki/Hamburg-Barmbek-S%C3%BCd,0.6021223662024887,0.9908918399650843,0.8487025061800365
23,10557,Berlin,Berlin-Hansaviertel,Berlin,/wiki/Berlin-Hansaviertel,0.5823353031703975,1.0,0.8426241215349373
24,10585,Berlin,Berlin-Charlottenburg,Berlin,/wiki/Berlin-Charlottenburg,0.6358138881984418,0.945394006454565,0.84198240556255
25,50733,Köln,Köln-Nippes,Nordrhein-Westfalen,/wiki/Nippes_(K%C3%B6ln),0.6448451599310842,0.9341176444408941,0.8407045100432559
26,90439,Nürnberg,Nürnberg-St. Leonhard,Bayern,/wiki/St._Leonhard_(N%C3%BCrnberg),0.5943808260839484,0.9781121735856038,0.8370219256457367
27,10829,Berlin,Berlin-Schöneberg,Berlin,/wiki/Berlin-Sch%C3%B6neberg,0.6023050772252336,0.9693962388536701,0.8365713028259164
28,06114,Halle (Saale),Halle (Saale)-Paulusviertel,Sachsen-Anhalt,/wiki/Paulusviertel_(Halle),0.6025159585318323,0.960601915366718,0.831685645266806
29,60385,Frankfurt am Main,Frankfurt am Main-Bornheim,Hessen,/wiki/Frankfurt-Bornheim,0.5752444942853783,0.979730584993321,0.827050802362194
30,76135,Karlsruhe,Karlsruhe-Weststadt,Baden Württemberg,/wiki/Weststadt_(Karlsruhe),0.5994598087285542,0.9508979863582565,0.8244226644962109
